doi,id
10.1016/j.molimm.2010.04.014,pub.1001290142
10.1007/bf03354222,pub.1000019455
10.1073/pnas.1015954107,pub.1034709763
10.1042/bj20071720,pub.1047925340
10.1093/gerona/glp187,pub.1045655903
10.1161/circresaha.110.228841,pub.1010702906
10.1016/j.molcel.2008.01.005,pub.1045011034
10.1016/j.jalz.2018.06.021,pub.1107761034
10.1016/s0002-9440(10)63577-8,pub.1034890080
10.1128/jvi.00109-09,pub.1005219764
10.1186/cc2545,pub.1044225560
10.1186/ar1021,pub.1013132794
10.1111/j.1600-0854.2004.00214.x,pub.1001735372
10.1002/eji.200425286,pub.1000703137
10.1186/cc2695,pub.1016782245
10.1034/j.1600-0854.2002.31004.x,pub.1006578291
10.1186/cc2257,pub.1038512354
10.1016/j.dci.2003.08.002,pub.1029530398
10.1080/09537100020031216,pub.1012690308
10.1038/labinvest.2009.114,pub.1047373650
10.1098/rstb.2005.1805,pub.1000251259
10.1111/j.1742-4658.2007.06112.x,pub.1039955161
10.1097/bor.0000174210.78449.6b,pub.1060345789
10.1074/mcp.m600177-mcp200,pub.1039622888
10.1097/00024382-200606001-00182,pub.1008366351
10.1097/01.wox.0000301485.97783.59,pub.1060323316
10.4049/jimmunol.173.12.7120,pub.1034528607
10.1016/j.bbrc.2010.03.172,pub.1023484311
10.1038/sj.ki.5002052,pub.1048689102
10.1016/s1097-2765(03)00488-x,pub.1023128080
10.1002/ijc.22191,pub.1014234753
10.1097/mnh.0b013e32832c9da2,pub.1015640860
10.1261/rna.2364811,pub.1038198864
10.1111/j.1600-0854.2008.00734.x,pub.1011474337
10.1186/cc2717,pub.1013255215
10.1126/science.308.5730.1848a,pub.1062588589
10.1385/criai:30:1:003,pub.1003958514
10.1074/jbc.m803785200,pub.1035723136
10.1128/mcb.23.4.1125-1134.2003,pub.1033001951
10.1371/journal.pone.0008370,pub.1027550505
10.1074/jbc.m004389200,pub.1016610285
10.4081/eb.2009.e3,pub.1010369625
10.1086/423140,pub.1036535463
10.21236/ada511273,pub.1091744216
10.1586/14737140.4.6.1081,pub.1027568609
10.1016/s1359-6349(10)71109-5,pub.1015945982
10.1186/ar457,pub.1020725133
10.1186/cc2245,pub.1009264535
10.4065/84.11.985,pub.1045288305
10.1189/jlb.1103593,pub.1033380600
10.1016/j.molcel.2005.10.031,pub.1016382094
10.1097/01.tp.0000332333.63583.24,pub.1052744565
10.1002/jmv.21437,pub.1015357043
10.1074/jbc.m501204200,pub.1013174749
10.1007/s10620-009-1008-9,pub.1041355724
10.1111/j.1749-6632.2002.tb04131.x,pub.1036065854
10.1073/pnas.0601268103,pub.1021508752
10.1016/s0140-6736(98)90275-6,pub.1043558419
10.1186/ar3013,pub.1041583635
10.1080/10409230500405237,pub.1039525283
10.1242/jcs.110.16.1867,pub.1083146506
10.1053/s0016-5085(07)00534-3,pub.1034662966
10.1152/physrev.00023.2001,pub.1016818911
10.1261/rna.531408,pub.1016780819
10.1038/ncb1929,pub.1001261659
10.1002/pmic.200800284,pub.1025571038
10.1074/mcp.m500030-mcp200,pub.1041713740
10.1160/th05-04-0231,pub.1063290498
10.1186/cc2303,pub.1008863162
10.1182/blood-2003-03-0871,pub.1005274191
10.1196/annals.1398.037,pub.1046036907
10.1186/cc2740,pub.1030632700
10.1097/00003246-200512002-00045,pub.1001153958
10.1016/j.bcmd.2005.06.013,pub.1044599761
10.1196/annals.1422.029,pub.1052975679
10.1097/00002371-200411000-00104,pub.1015173670
10.1242/dev.01413,pub.1002705531
10.1002/jnr.21043,pub.1012563852
10.1016/s1074-7613(03)00268-1,pub.1046596636
10.1016/j.bbrc.2010.06.112,pub.1011499194
10.1371/journal.pbio.1000008,pub.1028047698
10.1016/0169-4758(93)90207-v,pub.1008096124
10.1017/s1431927603034123,pub.1113964477
10.1186/ar697,pub.1027550738
10.1016/j.biocel.2007.02.011,pub.1012562591
10.1016/j.ceb.2008.04.001,pub.1013465883
10.1016/j.jprot.2010.01.005,pub.1030958692
10.1016/j.molimm.2008.08.233,pub.1052092873
10.1016/j.molcel.2006.03.016,pub.1012892919
10.1016/s0091-6749(07)02135-5,pub.1040137873
10.1091/mbc.e09-07-0550,pub.1033666932
10.1080/02656730500088211,pub.1026554621
10.1073/pnas.0807104105,pub.1051797905
10.1017/s1462399410001602,pub.1040004720
10.1016/j.neures.2008.05.002,pub.1026788758
10.1126/science.319.5867.1157b,pub.1062597558
10.1189/jlb.0307166,pub.1006595288
10.1016/j.virol.2010.09.012,pub.1012629989
10.1016/s1286-4579(01)01498-8,pub.1016468850
10.1186/ar519,pub.1035149169
10.1128/mcb.00091-06,pub.1040868198
10.1002/prca.200700035,pub.1040545909
10.1038/nrm2770,pub.1026852579
10.1126/scisignal.3141ec294,pub.1062684840
10.1136/gut.2009.179531,pub.1043342763
10.1586/14789450.4.1.39,pub.1027323642
10.1016/j.bbi.2010.07.057,pub.1031255667
10.1002/eji.200425675,pub.1052211816
10.1089/aid.2006.22.897,pub.1059225387
10.1146/annurev-cellbio-100109-104117,pub.1004832171
10.1128/ec.00133-06,pub.1039639152
10.1097/00002281-200509000-00026,pub.1043686531
10.1074/jbc.273.52.34770,pub.1010605877
10.1055/s-2008-1079257,pub.1057569257
10.1038/onc.2008.271,pub.1015864924
10.1186/ar435,pub.1007059455
10.1002/wrna.17,pub.1003615840
10.1093/emboj/18.19.5399,pub.1005082025
10.1186/cc2589,pub.1047255565
10.1016/j.protis.2008.12.001,pub.1028065656
10.1093/emboj/17.18.5427,pub.1022801361
10.1124/mol.105.014357,pub.1044614671
10.1038/nri1548,pub.1048655836
10.1016/s0016-5085(04)80004-0,pub.1050100857
10.1104/pp.120.4.937,pub.1047979240
10.2217/fmb.10.15,pub.1010501950
10.1042/bst0330409,pub.1014231191
10.1038/onc.2009.353,pub.1024204571
10.1093/nar/gkp732,pub.1034279194
10.1091/mbc.e08-09-0968,pub.1048713455
10.1006/cyto.1997.0217,pub.1002845747
10.1111/j.1600-0897.2007.00495.x,pub.1003716736
10.1038/emboj.2009.392,pub.1047723693
10.1038/ncpgasthep1070,pub.1037473277
,pub.1077922245
10.1055/s-2006-955987,pub.1057469915
10.4049/jimmunol.178.10.6404,pub.1077412738
10.1186/1479-0556-8-3,pub.1048375619
10.1080/09537100701777295,pub.1016408970
10.1177/026119291003800613,pub.1078338920
10.1101/gad.1410406,pub.1024501625
10.1158/0008-5472.can-03-3753,pub.1012849417
10.1084/jem.179.3.889,pub.1026976391
10.1038/sj.emboj.7601981,pub.1051494249
10.4049/jimmunol.180.12.8146,pub.1038548545
10.1002/wrna.4,pub.1051272830
10.1186/cc2797,pub.1016347246
10.1002/eji.200939269,pub.1032113327
10.1160/th07-07-0474,pub.1063291344
10.1093/emboj/20.17.4684,pub.1033933818
10.1182/blood-2005-02-0802,pub.1001484857
10.1158/0008-5472.can-06-3045,pub.1022109172
10.1016/j.intimp.2006.02.005,pub.1039990106
10.1242/dev.033605,pub.1002950736
10.1242/dev.01704,pub.1023801147
10.1002/jmr.650,pub.1019948041
10.1016/j.bbagrm.2008.02.001,pub.1052452763
,pub.1078403146
10.1097/00007890-200607152-02911,pub.1001522493
10.1007/s10577-007-1179-1,pub.1045802397
10.3390/molecules14124892,pub.1050410697
10.1016/j.molcel.2007.01.026,pub.1012136742
10.1002/elsc.200720234,pub.1014858012
10.1016/s0962-8924(03)00106-5,pub.1038726440
10.1016/j.wneu.2010.06.047,pub.1015987900
10.2527/jas.2006-234,pub.1070885714
10.1186/cc5806,pub.1028580339
10.1186/cc2231,pub.1027154504
10.1186/cc2551,pub.1044011597
10.1016/j.imlet.2006.10.001,pub.1032119834
10.1038/nrc2730,pub.1044541929
10.1073/pnas.0508599102,pub.1044049720
10.1016/s1525-0016(16)38375-7,pub.1054705794
10.1101/gad.1761509,pub.1035788030
10.1016/j.hoc.2006.02.011,pub.1046587163
10.1593/neo.05583,pub.1012167661
10.1097/01.tp.0000330523.08140.00,pub.1006355176
10.1152/ajpcell.00620.2005,pub.1046542716
10.4049/jimmunol.177.12.8708,pub.1018668446
10.1038/pcan.2009.29,pub.1050971579
10.1186/cc2515,pub.1050993633
10.1042/bst0381615,pub.1040606677
10.1097/00024382-200606001-00112,pub.1037976208
10.1002/bjs.6224,pub.1006915426
10.1186/cc2297,pub.1022289562
10.1016/j.molcel.2005.12.008,pub.1013723263
10.1016/j.jss.2010.05.012,pub.1032733327
10.1111/j.1365-313x.2008.03623.x,pub.1035881253
10.1016/j.pbi.2009.09.009,pub.1053043012
10.1097/mot.0b013e328335cb67,pub.1040487988
10.1186/cc5825,pub.1036351880
10.1016/s0952-7915(00)00180-1,pub.1050436399
10.1074/mcp.m400020-mcp200,pub.1028884459
,pub.1077124731
10.1517/14728214.13.2.295,pub.1000188995
10.21236/ad1013415,pub.1091773175
10.1242/jcs.00998,pub.1024853707
10.1016/j.fgb.2009.03.003,pub.1028517596
10.1186/cc5840,pub.1035338198
10.1074/mcp.m000063-mcp201,pub.1044139300
10.1016/j.yexcr.2006.04.013,pub.1000205847
10.1186/cc2259,pub.1050816457
10.1016/j.cell.2007.09.019,pub.1034531548
10.1093/gbe/evq002,pub.1044916666
10.1016/s0021-9258(18)48095-7,pub.1079842403
10.1182/blood-2003-03-0928,pub.1006601853
10.1097/01.qco.0000224826.57976.5c,pub.1029408636
10.1111/j.1460-9568.2005.04049.x,pub.1018390184
10.1093/annonc/13s50013,pub.1003148172
10.1111/j.1462-5822.2010.01519.x,pub.1005341311
10.1073/pnas.1012891107,pub.1026121409
10.1016/j.molcel.2007.07.019,pub.1038455511
10.1097/00024382-200606001-00095,pub.1020516708
10.1186/cc2600,pub.1022663177
10.1126/science.1092645,pub.1031430564
10.1016/j.ceb.2004.06.003,pub.1048336107
,pub.1078403138
10.1186/cc2254,pub.1001659968
10.1007/s11427-009-0158-5,pub.1030778188
10.1093/humupd/dmi052,pub.1037477226
10.1126/science.319.5867.1157i,pub.1062597565
10.1016/s0008-6363(03)00367-5,pub.1054578560
10.1128/jvi.01634-07,pub.1032700835
10.1016/j.canlet.2008.05.043,pub.1023950452
10.1038/nature05080,pub.1006494779
10.1016/s1535-9476(20)34936-7,pub.1134463770
10.1186/cc2642,pub.1000230692
10.1371/journal.pgen.0030088,pub.1038747641
10.1038/cdd.2008.104,pub.1019805222
10.1681/asn.2008060648,pub.1017610273
10.1038/nrg802,pub.1011925739
10.1186/1756-0500-3-97,pub.1011973042
10.1097/01.cji.0000191086.74404.09,pub.1004914705
10.1097/01.cji.0000190996.94115.1c,pub.1007662501
10.1016/s0168-9525(98)01627-8,pub.1018007769
10.1097/00024382-200606001-00210,pub.1045537244
10.1038/nrmicro1492,pub.1035807768
10.1097/01.cji.0000191104.03938.b4,pub.1041665450
10.1002/mas.20211,pub.1005980231
10.1038/nrg805,pub.1043575503
10.1186/1742-9994-5-6,pub.1036389460
10.1002/elsc.200720233,pub.1005873333
10.1387/ijdb.082730cb,pub.1067191016
10.1016/j.jbiotec.2008.07.074,pub.1011567349
10.1186/cc2497,pub.1034117353
10.1128/mcb.25.16.7333-7343.2005,pub.1030688893
10.1111/j.1742-4658.2005.04861.x,pub.1005662919
10.1007/s00109-006-0102-0,pub.1020098757
10.1002/art.23306,pub.1040016359
10.1186/ar656,pub.1007958865
10.1038/nm0598-594,pub.1001835763
10.1158/0008-5472.can-07-5767,pub.1036014373
10.1097/01.tp.0000158277.50073.35,pub.1027739950
10.1097/01.cji.0000191008.62728.82,pub.1018514578
10.1016/j.molcel.2005.10.027,pub.1032853504
10.1186/gb-2010-11-7-r75,pub.1023335219
10.1186/cc2570,pub.1012660603
10.2478/s11535-007-0007-0,pub.1013550434
10.4049/jimmunol.176.8.4778,pub.1077217025
10.1038/ncb1265,pub.1014575712
10.1016/j.yexcr.2008.04.004,pub.1027272642
10.1186/1471-2164-10-556,pub.1008689625
10.1038/nsmb.1417,pub.1049823491
10.1186/cc2780,pub.1009098099
10.1189/jlb.0709465,pub.1002103671
10.1074/jbc.m110.175018,pub.1009500181
10.1182/blood-2007-03-079152,pub.1044418165
10.1128/mcb.00463-08,pub.1044891317
10.1097/00024382-200606001-00193,pub.1052088768
10.1111/j.1600-6143.2008.02253.x,pub.1022711245
10.1002/pmic.200600284,pub.1049411195
10.1517/13543776.9.5.645,pub.1039376087
10.4049/jimmunol.176.12.7288,pub.1077250133
10.1016/j.jalz.2008.05.414,pub.1022018057
10.1152/ajpheart.01355.2006,pub.1037651163
10.1023/a:1021237021338,pub.1023086472
10.1097/01.ccm.0000115263.08805.ef,pub.1010407608
10.1096/fj.09-140921,pub.1004518088
10.1158/0008-5472.can-09-3276,pub.1004890680
10.4049/jimmunol.179.5.2713,pub.1077466065
10.1186/cc2596,pub.1051280584
10.1172/jci40483,pub.1016830233
10.1073/pnas.0504702102,pub.1025717103
10.1097/01.wox.0000301050.25035.a6,pub.1060322881
10.1523/jneurosci.4322-04.2005,pub.1012655823
10.1146/annurev.genet.41.110306.130216,pub.1044687704
10.1091/mbc.e08-02-0189,pub.1022442108
10.1074/jbc.m110.160135,pub.1024342295
10.1002/hep.20926,pub.1020744007
10.1074/jbc.m110.139345,pub.1008080260
10.1097/ccm.0b013e3181a5eaf4,pub.1034445856
10.1128/mcb.01145-08,pub.1009818083
10.1158/1078-0432.ccr-09-0645,pub.1008544739
10.1007/s00438-006-0151-7,pub.1007377912
10.1093/nar/gkl1055,pub.1045985083
10.1128/mcb.01621-07,pub.1042090625
10.1371/journal.ppat.1000382,pub.1023398221
